open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1645030800000,43647.37000000,43705.60000000,43544.32000000,43573.76000000,770.70691000,1645034399999,33621995.83366920,22689,374.07120000,16319437.37779460,0
1645034400000,43573.76000000,43892.00000000,43506.64000000,43847.16000000,986.45468000,1645037999999,43124846.40916900,26818,498.31712000,21786444.00195650,0
1645038000000,43847.15000000,44344.64000000,43694.44000000,44220.00000000,3114.89967000,1645041599999,137394405.63858580,66324,1621.26880000,71508476.84596700,0
1645041600000,44219.99000000,44376.58000000,44075.55000000,44093.62000000,1054.78133000,1645045199999,46638982.41213610,29695,537.26234000,23756767.13496450,0
1645045200000,44093.62000000,44165.00000000,43877.68000000,44068.34000000,685.57957000,1645048799999,30189391.65605220,24596,301.90777000,13296395.36684490,0
1645048800000,44068.34000000,44159.37000000,43956.30000000,44010.49000000,528.16368000,1645052399999,23272604.71950060,21458,276.03745000,12165449.53037560,0
1645052400000,44010.50000000,44168.64000000,43823.09000000,43873.56000000,648.48745000,1645055999999,28543006.97689600,20738,286.30323000,12597775.83285630,0
1645056000000,43873.56000000,44100.23000000,43822.28000000,44060.74000000,840.53758000,1645059599999,36935543.92313000,25425,431.18158000,18943729.24653470,0
1645059600000,44060.75000000,44164.71000000,43968.58000000,44006.09000000,798.91910000,1645063199999,35198246.05204010,24262,282.13961000,12430701.84353040,0
1645063200000,44006.09000000,44095.73000000,43824.68000000,43995.48000000,848.14420000,1645066799999,37275896.55149780,24929,398.99273000,17532099.80786000,0
1645066800000,43995.48000000,44010.00000000,43575.04000000,43583.05000000,1057.71326000,1645070399999,46346295.36656790,30818,413.54040000,18127613.17248620,0
1645070400000,43580.00000000,43710.42000000,43350.00000000,43615.72000000,2088.95628000,1645073999999,90913031.57722670,41936,785.69505000,34207244.02525320,0
1645074000000,43615.72000000,43707.77000000,43514.77000000,43617.40000000,544.39246000,1645077599999,23748127.26082060,21485,244.86408000,10682088.09130450,0
1645077600000,43617.41000000,43900.56000000,43573.50000000,43838.80000000,812.00255000,1645081199999,35537411.52941260,23649,402.30691000,17607249.47399620,0
1645081200000,43838.80000000,43950.00000000,43750.98000000,43919.46000000,613.03626000,1645084799999,26869107.52585760,21499,322.32176000,14125173.96093820,0
1645084800000,43919.46000000,44022.36000000,43330.00000000,43468.21000000,2269.05556000,1645088399999,98905878.74869840,49399,1069.67279000,46628086.98455070,0
1645088400000,43468.21000000,43529.79000000,42900.00000000,43216.34000000,2175.16040000,1645091999999,93953210.52738940,56737,951.13688000,41098631.60120780,0
1645092000000,43216.33000000,43342.00000000,42925.06000000,43049.99000000,1239.40185000,1645095599999,53524590.40633430,32380,563.23625000,24328518.78736540,0
